Nome,Endereco,Cidade,Estado,Telefone,Renda_Anual,Estado_Civil,Idade,Numero_Filhos,Tipo_Moradia,Restricoes_Alimentares,Streaming,Protetor_Solar_Diario,Visita_Praia_Mensal,Frequenta_Academia,Compra_Le_Livros_Anualmente,Quantidade_Livros_Comprados,Autor_Favorito,Email
Maria Clara Novaes,,Carvalho,Mato Grosso do Sul,(011) 3908 5991,86445.0,,43.0,,Quitada,Nenhuma,Globo Play,Sim,Não,Sim,,,,mariaclaranovaes285@gemeil.com
Davi Lucca Pereira,"Rodovia de Silveira, 67",,Mato Grosso do Sul,,31289.0,,,0.0,De favor,,Globo Play e Netflix e HBO e Disney Plus e Crunchyroll,,Não,Sim,Não,,,daviluccapereira933@exemplo.com
Sr Caio Caldeira,"Residencial Freitas, 10",Carvalho,Rio Grande do Norte,,,Solteiro,60.0,,Financiamento,Lactose e Glúten,,Sim,Não,,Sim,6.0,,srcaiocaldeira626@gemeil.com
Kaique Azevedo,,Azevedo,Rio Grande do Sul,,76264.0,Casado,26.0,4.0,Quitada,Lactose e Glúten,,Não,Não,Não,Sim,0.0,Enzo Rezende,kaiqueazevedo731@rotmail.com
Pedro Moreira,"Colônia de Oliveira, 87",,,,53295.0,Casado,60.0,5.0,Financiamento,,Globo Play,Sim,Sim,,Sim,7.0,,pedromoreira622@gemeil.com
Sra Ana Júlia Castro,"Parque Olivia da Mata, 32",Nogueira dos Dourados,Rondônia,,54503.0,Solteiro,29.0,,Aluguel,,Netflix e HBO,,Sim,Não,Sim,5.0,Marcelo Melo,sraanajliacastro740@gemeil.com
Erick Carvalho,"Sítio Farias, 264",,Amazonas,84 9687 5023,,Divorciado,26.0,,Quitada,Lactose,,Não,Sim,,Não,,,erickcarvalho519@rotmail.com
Sra Ana Sophia Vieira,"Esplanada de Mendes, 72",,,,93976.0,,50.0,4.0,Aluguel,Nenhuma,,Não,Não,,Não,,,sraanasophiavieira974@gemeil.com
Davi Nascimento,"Rua da Paz, 72",Duarte,,+55 51 6868 3666,65384.0,Divorciado,60.0,2.0,Aluguel,Nenhuma,Crunchyroll,Não,Sim,Sim,,,,dav4inascimento856@rotmail.com
Juan da Mota,Viela das Neves,,Espírito Santo,,,Divorciado,,4.0,Aluguel,Lactose,Nenhum,,Sim,,Não,,,juandamota291@gemeil.com
Stephany Pinto,"Residencial Breno Sales, 27",Fernandes do Oeste,,,,,65.0,5.0,,Nenhuma,HBO,Sim,,Sim,Não,,,stephanypinto486@rotmail.com
Joana Rezende,Recanto Oliveira,Caldeira,,0900 093 9760,71627.0,Divorciado,63.0,2.0,Quitada,Lactose,Nenhum,Não,Sim,Não,Sim,5.0,,joanarezende680@gemeil.com
Dra Letícia Ribeiro,"Quadra Campos, 40",Jesus Paulista,,,67068.0,Casado,22.0,,,Glúten,Disney Plus,Não,,Sim,Sim,,Lorena Lopes,draletciaribeiro370@rotmail.com
Beatriz Azevedo,,Costela da Praia,Santa Catarina,,86389.0,Solteiro,33.0,2.0,De favor,,Globo Play e Netflix e HBO e Disney Plus e Crunchyroll,Sim,Sim,,Sim,,Isis Santos,beatrizazevedo858@gemeil.com
